ID,salesOrderType,salesOrganization,distributionChannel,division,soldToParty,status,requestedDeliveryDate,purchaseOrderByCustomer,soError,s4hanaSoNo,createdAt,createdBy,modifiedAt,modifiedBy
b6e0c6d9-8b5d-4450-a5e6-96a83ada4deb,OR,1PMH,AA,1,68100001,Yet to be processed,2025-09-30,POS1,,527,,,,
5ab5e46f-5994-47e2-9f08-716c6dcc31bc,OR,1PMH,AA,1,68100001,Successfully Created,2025-09-30,POS1,,528,,,,
833b955b-7976-48b2-936f-44cc1a6a5ba7,OR,1PMH,AA,1,68100001,Error,2025-09-30,POS1,"HTTP 501: {""error"":{""code"":""/IWFND/CM_MGW/537"",""message"":{""lang"":""en"",""value"":""eTag handling not supported for http method 'POST'""},""innererror"":{""application"":{""component_id"":""SD-SLS-SO"",""service_namespace"":""/SAP/"",""service_id"":""API_SALES_ORDER_SRV"",""service_version"":""0001""},""transactionid"":""B487A55D910F0060E0068E388AC659FE"",""timestamp"":""20251006164957.7524330"",""Error_Resolution"":{""SAP_Transaction"":""For backend administrators: use ADT feed reader ""SAP Gateway Error Log"" or run transaction /IWFND/ERROR_LOG on SAP Gateway hub system and search for entries with the timestamp above for more details"",""SAP_Note"":""See SAP Note 1797736 for error analysis (https://service.sap.com/sap/support/notes/1797736)""},""errordetails"":[]}}}",529,,,,
70d90223-b6c7-4c96-b8ca-2ea7318334a8,OR,1PMH,AA,01,68100001,Successfully Created,2025-09-30,POS1,,530,,,,
17b2b122-df77-4121-960d-b3ed79917205,OR,1PMH,AA,01,68100001,Error,2025-09-30,POS1,"HTTP 400: {""error"":{""code"":""/IWCOR/CX_DS_EP_PROPERTY_ERROR/00505692409C1ED6B8FE112855048EDA"",""message"":{""lang"":""en"",""value"":""Property 'to_Item' is invalid""},""innererror"":{""application"":{""component_id"":""SD-SLS-SO"",""service_namespace"":""/SAP/"",""service_id"":""API_SALES_ORDER_SRV"",""service_version"":""0001""},""transactionid"":""B487A55D910F01B0E0068E391F76B42B"",""timestamp"":""20251006170444.3572430"",""Error_Resolution"":{""SAP_Transaction"":""For backend administrators: use ADT feed reader ""SAP Gateway Error Log"" or run transaction /IWFND/ERROR_LOG on SAP Gateway hub system and search for entries with the timestamp above for more details"",""SAP_Note"":""See SAP Note 1797736 for error analysis (https://service.sap.com/sap/support/notes/1797736)""},""errordetails"":[]}}}",531,,,,
246ffd72-a079-4597-a865-8f220f9dd5bd,OR,1PMH,AA,01,68100001,Yet to be processed,2025-09-30,POS1,,532,,,,
642d0edd-8b5e-44b4-a4e5-8d26103c1107,OR,1PMH,AA,01,68100001,Error,2025-09-30,POS1,"HTTP 400: {""error"":{""code"":""CX_SD_SLS_INTEGRATION"",""message"":{""lang"":""en"",""value"":""Item 000100 already exists""},""innererror"":{""application"":{""component_id"":""SD-SLS-SO"",""service_namespace"":""/SAP/"",""service_id"":""API_SALES_ORDER_SRV"",""service_version"":""0001""},""transactionid"":""B487A55D910F0180E0068E3A53828DDA"",""timestamp"":""20251006171202.5565940"",""Error_Resolution"":{""SAP_Transaction"":""For backend administrators: use ADT feed reader ""SAP Gateway Error Log"" or run transaction /IWFND/ERROR_LOG on SAP Gateway hub system and search for entries with the timestamp above for more details"",""SAP_Note"":""See SAP Note 1797736 for error analysis (https://service.sap.com/sap/support/notes/1797736)""},""longtext_url"":""/sap/opu/odata/iwbep/message_text;o=LOCAL/T100_longtexts(MSGID='V1',MSGNO='385',MESSAGE_V1='000100',MESSAGE_V2='',MESSAGE_V3='',MESSAGE_V4='')/$value"",""errordetails"":[{""ContentID"":"""",""code"":""CX_SD_SLS_INTEGRATION"",""message"":""Item 000100 already exists"",""longtext_url"":""/sap/opu/odata/iwbep/message_text;o=LOCAL/T100_""}]}}}",536,,,,
03b21010-1232-460c-ad04-5ccbd0d14b7b,OR,1PMH,AA,01,68100001,Successfully Created,2025-09-30,POS1,,533,,,,
0c71401b-0eb4-4c42-91ff-7763049c75d8,OR,1PMH,AA,01,68100001,Successfully Created,2025-09-30,POS1,,534,,,,
5b95fa9d-2e2d-4b56-b295-24cfb1ddf1c5,OR,1PMH,AA,01,68100001,Successfully Created,2025-09-30,POS1,,535,,,,
